Year,Sport,Discipline,Medal,Country,Author,AuthorId
1948,ART,mixed-music-compositions-for-orchestra,Gold,POL,Zbigniew Turski,zbigniew-turski-1
1948,ART,mixed-music-compositions-for-orchestra,Silver,FIN,Kalervo Tuukkanen,kalervo-tuukkanen-1
1948,ART,mixed-music-compositions-for-orchestra,Bronze,DEN,Erling Brene,erling-brene-1
1936,ART,mixed-music-compositions-for-orchestra,Gold,GER,Werner Egk,werner-egk-1
1936,ART,mixed-music-compositions-for-orchestra,Silver,ITA,Lino Liviabella,lino-liviabella-1
1936,ART,mixed-music-compositions-for-orchestra,Bronze,TCH,Jaroslav KÅiÄka,jaroslav-kricka-1
1928,ART,mixed-music-compositions-for-orchestra,Bronze,DEN,Rudolf Simonsen,rudolf-simonsen-1
1936,ART,mixed-music-compositions-for-solo-or-chorus,Gold,GER,Paul HÃ¶ffer,paul-hoffer-1
1936,ART,mixed-music-compositions-for-solo-or-chorus,Silver,GER,Kurt Thomas,kurt-thomas-2
1936,ART,mixed-music-compositions-for-solo-or-chorus,Bronze,GER,Harald Genzmer,harald-genzmer-1
1948,ART,mixed-music-instrumental-and-chamber,Silver,CAN,John Weinzweig,john-weinzweig-1
1948,ART,mixed-music-instrumental-and-chamber,Bronze,ITA,Sergio Lauricella,sergio-lauricella-1
1948,ART,mixed-music-vocals,Bronze,ITA,Gabriele Bianchi,gabriele-bianchi-1
1932,ART,mixed-music,Silver,TCH,Josef Suk,josef-suk-1
1920,ART,mixed-music,Gold,BEL,Georges Monier,georges-monier-1
1920,ART,mixed-music,Silver,ITA,Oreste Riva,oreste-riva-1
1912,ART,mixed-music,Gold,ITA,Richard BarthÃ©lemy,richard-barthelemy-1
1948,ART,mixed-painting-applied-arts,Silver,SUI,Alex Walter Diggelmann,alex-walter-diggelmann-1
1948,ART,mixed-painting-applied-arts,Bronze,SUI,Alex Walter Diggelmann,alex-walter-diggelmann-1
1936,ART,mixed-painting-applied-arts,Gold,SUI,Alex Walter Diggelmann,alex-walter-diggelmann-1
1936,ART,mixed-painting-applied-arts,Silver,GER,Alfred Hierl,alfred-hierl-1
1936,ART,mixed-painting-applied-arts,Bronze,POL,StanisÅaw Ostoja-Chrostowski,stanislaw-ostoja-chrostowski-1
1936,ART,mixed-painting-drawings-and-water-colors,Silver,ITA,Romano Dazzi,romano-dazzi-1
1936,ART,mixed-painting-drawings-and-water-colors,Bronze,JPN,Sujaku Suzuki,sujaku-suzuki-1
1932,ART,mixed-painting-drawings-and-water-colors,Gold,USA,Lee Blair,lee-blair-1
1932,ART,mixed-painting-drawings-and-water-colors,Silver,USA,Percy Crosby,percy-crosby-1
1932,ART,mixed-painting-drawings-and-water-colors,Bronze,NED,Gerard Westerman,gerard-westerman-1
1928,ART,mixed-painting-drawings-and-water-colors,Gold,LUX,Jean Jacoby,jean-jacoby-1
1928,ART,mixed-painting-drawings-and-water-colors,Silver,FRA,Alex Virot,alex-virot-1
1928,ART,mixed-painting-drawings-and-water-colors,Bronze,POL,WÅadysÅaw Skoczylas,wladyslaw-skoczylas-1
1948,ART,mixed-painting-graphic-arts,Gold,FRA,Albert Decaris,albert-decaris-1
1948,ART,mixed-painting-graphic-arts,Silver,GBR,John Copley,john-copley-1
1948,ART,mixed-painting-graphic-arts,Bronze,RSA,Walter Battiss,walter-battiss-1
1932,ART,mixed-painting-graphic-arts,Gold,USA,Joseph Webster Golinkin,joseph-webster-golinkin-1
1932,ART,mixed-painting-graphic-arts,Silver,POL,Janina Konarska-SÅonimska,janina-konarska-slonimska-1
1932,ART,mixed-painting-graphic-arts,Bronze,GER,Joachim Karsch,joachim-karsch-1
1928,ART,mixed-painting-graphic-arts,Gold,GBR,William Nicholson,william-nicholson-1
1928,ART,mixed-painting-graphic-arts,Silver,SUI,Carl Moos,carl-moos-1
1928,ART,mixed-painting-graphic-arts,Bronze,GER,Max Feldbauer,max-feldbauer-1
1948,ART,mixed-painting-paintings,Gold,GBR,Alfred Thomson,alfred-thomson-1
1948,ART,mixed-painting-paintings,Silver,ITA,Giovanni Stradone,giovanni-stradone-1
1948,ART,mixed-painting-paintings,Bronze,IRL,Letitia Hamilton,letitia-hamilton-1
1936,ART,mixed-painting-paintings,Silver,AUT,Rudolf Eisenmenger,rudolf-eisenmenger-1
